Method,Return,Seed,Step,Task
LWTA,-186.0,0,41620,MountainCar-v0
LWTA,-153.0,0,41773,MountainCar-v0
LWTA,-151.0,0,41924,MountainCar-v0
LWTA,-179.0,0,42103,MountainCar-v0
LWTA,-291.0,0,42394,MountainCar-v0
LWTA,-99.0,0,42493,MountainCar-v0
LWTA,-155.0,0,42648,MountainCar-v0
LWTA,-179.0,0,42827,MountainCar-v0
LWTA,-157.0,0,42984,MountainCar-v0
LWTA,-232.0,0,43216,MountainCar-v0
LWTA,-142.0,0,43358,MountainCar-v0
LWTA,-174.0,0,43532,MountainCar-v0
LWTA,-162.0,0,43694,MountainCar-v0
LWTA,-93.0,0,43787,MountainCar-v0
LWTA,-96.0,0,43883,MountainCar-v0
LWTA,-122.0,0,44005,MountainCar-v0
LWTA,-146.0,0,44151,MountainCar-v0
LWTA,-179.0,0,44330,MountainCar-v0
LWTA,-214.0,0,44544,MountainCar-v0
LWTA,-167.0,0,44711,MountainCar-v0
LWTA,-113.0,0,44824,MountainCar-v0
LWTA,-153.0,0,44977,MountainCar-v0
LWTA,-89.0,0,45066,MountainCar-v0
LWTA,-150.0,0,45216,MountainCar-v0
LWTA,-154.0,0,45370,MountainCar-v0
LWTA,-164.0,0,45534,MountainCar-v0
LWTA,-156.0,0,45690,MountainCar-v0
LWTA,-159.0,0,45849,MountainCar-v0
LWTA,-168.0,0,46017,MountainCar-v0
LWTA,-163.0,0,46180,MountainCar-v0
LWTA,-102.0,0,46282,MountainCar-v0
LWTA,-154.0,0,46436,MountainCar-v0
LWTA,-155.0,0,46591,MountainCar-v0
LWTA,-158.0,0,46749,MountainCar-v0
LWTA,-102.0,0,46851,MountainCar-v0
LWTA,-93.0,0,46944,MountainCar-v0
LWTA,-132.0,0,47076,MountainCar-v0
LWTA,-151.0,0,47227,MountainCar-v0
LWTA,-150.0,0,47377,MountainCar-v0
LWTA,-87.0,0,47464,MountainCar-v0
LWTA,-113.0,0,47577,MountainCar-v0
LWTA,-160.0,0,47737,MountainCar-v0
LWTA,-102.0,0,47839,MountainCar-v0
LWTA,-171.0,0,48010,MountainCar-v0
LWTA,-168.0,0,48178,MountainCar-v0
LWTA,-100.0,0,48278,MountainCar-v0
LWTA,-110.0,0,48388,MountainCar-v0
LWTA,-178.0,0,48566,MountainCar-v0
LWTA,-114.0,0,48680,MountainCar-v0
LWTA,-143.0,0,48823,MountainCar-v0
LWTA,-92.0,0,48915,MountainCar-v0
LWTA,-99.0,0,49014,MountainCar-v0
LWTA,-93.0,0,49107,MountainCar-v0
LWTA,-111.0,0,49218,MountainCar-v0
LWTA,-184.0,0,49402,MountainCar-v0
LWTA,-88.0,0,49490,MountainCar-v0
LWTA,-182.0,0,49672,MountainCar-v0
LWTA,-156.0,0,49828,MountainCar-v0
LWTA,-102.0,0,49930,MountainCar-v0
LWTA,-5.0,0,7,Pixelcopter-PLE-v0
LWTA,-4.0,0,19,Pixelcopter-PLE-v0
LWTA,-5.0,0,25,Pixelcopter-PLE-v0
LWTA,-5.0,0,32,Pixelcopter-PLE-v0
LWTA,-4.0,0,47,Pixelcopter-PLE-v0
LWTA,-3.0,0,66,Pixelcopter-PLE-v0
LWTA,-5.0,0,72,Pixelcopter-PLE-v0
LWTA,-5.0,0,77,Pixelcopter-PLE-v0
LWTA,-5.0,0,86,Pixelcopter-PLE-v0
LWTA,-5.0,0,91,Pixelcopter-PLE-v0
LWTA,-5.0,0,96,Pixelcopter-PLE-v0
LWTA,-5.0,0,101,Pixelcopter-PLE-v0
LWTA,-5.0,0,106,Pixelcopter-PLE-v0
LWTA,-5.0,0,112,Pixelcopter-PLE-v0
LWTA,-5.0,0,116,Pixelcopter-PLE-v0
LWTA,-5.0,0,123,Pixelcopter-PLE-v0
LWTA,-5.0,0,129,Pixelcopter-PLE-v0
LWTA,-5.0,0,133,Pixelcopter-PLE-v0
LWTA,-5.0,0,138,Pixelcopter-PLE-v0
LWTA,-4.0,0,148,Pixelcopter-PLE-v0
LWTA,-5.0,0,157,Pixelcopter-PLE-v0
LWTA,-5.0,0,164,Pixelcopter-PLE-v0
LWTA,-5.0,0,173,Pixelcopter-PLE-v0
LWTA,-5.0,0,178,Pixelcopter-PLE-v0
LWTA,-5.0,0,185,Pixelcopter-PLE-v0
LWTA,-4.0,0,195,Pixelcopter-PLE-v0
LWTA,-5.0,0,201,Pixelcopter-PLE-v0
LWTA,-5.0,0,207,Pixelcopter-PLE-v0
LWTA,-5.0,0,213,Pixelcopter-PLE-v0
LWTA,-4.0,0,223,Pixelcopter-PLE-v0
LWTA,-5.0,0,230,Pixelcopter-PLE-v0
LWTA,-5.0,0,237,Pixelcopter-PLE-v0
LWTA,-5.0,0,246,Pixelcopter-PLE-v0
LWTA,-5.0,0,252,Pixelcopter-PLE-v0
LWTA,-5.0,0,257,Pixelcopter-PLE-v0
LWTA,-5.0,0,263,Pixelcopter-PLE-v0
LWTA,-5.0,0,267,Pixelcopter-PLE-v0
LWTA,-5.0,0,274,Pixelcopter-PLE-v0
LWTA,-5.0,0,280,Pixelcopter-PLE-v0
LWTA,-5.0,0,288,Pixelcopter-PLE-v0
LWTA,-5.0,0,297,Pixelcopter-PLE-v0
LWTA,-5.0,0,303,Pixelcopter-PLE-v0
LWTA,-3.0,0,319,Pixelcopter-PLE-v0
LWTA,-5.0,0,326,Pixelcopter-PLE-v0
LWTA,-5.0,0,331,Pixelcopter-PLE-v0
LWTA,-5.0,0,337,Pixelcopter-PLE-v0
LWTA,-5.0,0,342,Pixelcopter-PLE-v0
LWTA,-4.0,0,352,Pixelcopter-PLE-v0
LWTA,-5.0,0,358,Pixelcopter-PLE-v0
LWTA,-5.0,0,365,Pixelcopter-PLE-v0
LWTA,-5.0,0,373,Pixelcopter-PLE-v0
LWTA,-2.0,0,401,Pixelcopter-PLE-v0
LWTA,-4.0,0,412,Pixelcopter-PLE-v0
LWTA,-4.0,0,423,Pixelcopter-PLE-v0
LWTA,-5.0,0,429,Pixelcopter-PLE-v0
LWTA,-5.0,0,435,Pixelcopter-PLE-v0
LWTA,-5.0,0,444,Pixelcopter-PLE-v0
LWTA,-4.0,0,457,Pixelcopter-PLE-v0
LWTA,-5.0,0,462,Pixelcopter-PLE-v0
LWTA,-5.0,0,466,Pixelcopter-PLE-v0
LWTA,0.0,0,503,Pixelcopter-PLE-v0
LWTA,-5.0,0,507,Pixelcopter-PLE-v0
LWTA,-5.0,0,511,Pixelcopter-PLE-v0
LWTA,-5.0,0,515,Pixelcopter-PLE-v0
LWTA,-5.0,0,519,Pixelcopter-PLE-v0
LWTA,-5.0,0,528,Pixelcopter-PLE-v0
LWTA,-3.0,0,544,Pixelcopter-PLE-v0
LWTA,-4.0,0,555,Pixelcopter-PLE-v0
LWTA,-4.0,0,567,Pixelcopter-PLE-v0
LWTA,-5.0,0,573,Pixelcopter-PLE-v0
LWTA,-5.0,0,578,Pixelcopter-PLE-v0
LWTA,-5.0,0,587,Pixelcopter-PLE-v0
LWTA,-5.0,0,596,Pixelcopter-PLE-v0
LWTA,-5.0,0,600,Pixelcopter-PLE-v0
LWTA,-3.0,0,618,Pixelcopter-PLE-v0
LWTA,-5.0,0,622,Pixelcopter-PLE-v0
LWTA,-5.0,0,627,Pixelcopter-PLE-v0
LWTA,-4.0,0,637,Pixelcopter-PLE-v0
LWTA,-5.0,0,644,Pixelcopter-PLE-v0
LWTA,-5.0,0,649,Pixelcopter-PLE-v0
LWTA,-3.0,0,669,Pixelcopter-PLE-v0
LWTA,-5.0,0,673,Pixelcopter-PLE-v0
LWTA,-3.0,0,692,Pixelcopter-PLE-v0
LWTA,-4.0,0,705,Pixelcopter-PLE-v0
LWTA,-5.0,0,709,Pixelcopter-PLE-v0
LWTA,-5.0,0,714,Pixelcopter-PLE-v0
LWTA,-5.0,0,718,Pixelcopter-PLE-v0
LWTA,-2.0,0,740,Pixelcopter-PLE-v0
LWTA,-5.0,0,745,Pixelcopter-PLE-v0
LWTA,-5.0,0,754,Pixelcopter-PLE-v0
