Method,Return,Seed,Step,Task
Elephant,-153.0,0,37823,MountainCar-v0
Elephant,-90.0,0,37913,MountainCar-v0
Elephant,-145.0,0,38058,MountainCar-v0
Elephant,-92.0,0,38150,MountainCar-v0
Elephant,-91.0,0,38241,MountainCar-v0
Elephant,-153.0,0,38394,MountainCar-v0
Elephant,-106.0,0,38500,MountainCar-v0
Elephant,-112.0,0,38612,MountainCar-v0
Elephant,-175.0,0,38787,MountainCar-v0
Elephant,-112.0,0,38899,MountainCar-v0
Elephant,-86.0,0,38985,MountainCar-v0
Elephant,-145.0,0,39130,MountainCar-v0
Elephant,-87.0,0,39217,MountainCar-v0
Elephant,-94.0,0,39311,MountainCar-v0
Elephant,-131.0,0,39442,MountainCar-v0
Elephant,-93.0,0,39535,MountainCar-v0
Elephant,-100.0,0,39635,MountainCar-v0
Elephant,-86.0,0,39721,MountainCar-v0
Elephant,-106.0,0,39827,MountainCar-v0
Elephant,-107.0,0,39934,MountainCar-v0
Elephant,-93.0,0,40027,MountainCar-v0
Elephant,-105.0,0,40132,MountainCar-v0
Elephant,-94.0,0,40226,MountainCar-v0
Elephant,-91.0,0,40317,MountainCar-v0
Elephant,-106.0,0,40423,MountainCar-v0
Elephant,-149.0,0,40572,MountainCar-v0
Elephant,-111.0,0,40683,MountainCar-v0
Elephant,-107.0,0,40790,MountainCar-v0
Elephant,-90.0,0,40880,MountainCar-v0
Elephant,-155.0,0,41035,MountainCar-v0
Elephant,-110.0,0,41145,MountainCar-v0
Elephant,-113.0,0,41258,MountainCar-v0
Elephant,-113.0,0,41371,MountainCar-v0
Elephant,-88.0,0,41459,MountainCar-v0
Elephant,-109.0,0,41568,MountainCar-v0
Elephant,-160.0,0,41728,MountainCar-v0
Elephant,-111.0,0,41839,MountainCar-v0
Elephant,-109.0,0,41948,MountainCar-v0
Elephant,-108.0,0,42056,MountainCar-v0
Elephant,-116.0,0,42172,MountainCar-v0
Elephant,-106.0,0,42278,MountainCar-v0
Elephant,-106.0,0,42384,MountainCar-v0
Elephant,-114.0,0,42498,MountainCar-v0
Elephant,-86.0,0,42584,MountainCar-v0
Elephant,-85.0,0,42669,MountainCar-v0
Elephant,-111.0,0,42780,MountainCar-v0
Elephant,-110.0,0,42890,MountainCar-v0
Elephant,-106.0,0,42996,MountainCar-v0
Elephant,-91.0,0,43087,MountainCar-v0
Elephant,-89.0,0,43176,MountainCar-v0
Elephant,-107.0,0,43283,MountainCar-v0
Elephant,-107.0,0,43390,MountainCar-v0
Elephant,-85.0,0,43475,MountainCar-v0
Elephant,-107.0,0,43582,MountainCar-v0
Elephant,-106.0,0,43688,MountainCar-v0
Elephant,-106.0,0,43794,MountainCar-v0
Elephant,-107.0,0,43901,MountainCar-v0
Elephant,-107.0,0,44008,MountainCar-v0
Elephant,-106.0,0,44114,MountainCar-v0
Elephant,-107.0,0,44221,MountainCar-v0
Elephant,-90.0,0,44311,MountainCar-v0
Elephant,-106.0,0,44417,MountainCar-v0
Elephant,-110.0,0,44527,MountainCar-v0
Elephant,-100.0,0,44627,MountainCar-v0
Elephant,-107.0,0,44734,MountainCar-v0
Elephant,-85.0,0,44819,MountainCar-v0
Elephant,-107.0,0,44926,MountainCar-v0
Elephant,-107.0,0,45033,MountainCar-v0
Elephant,-110.0,0,45143,MountainCar-v0
Elephant,-109.0,0,45252,MountainCar-v0
Elephant,-106.0,0,45358,MountainCar-v0
Elephant,-90.0,0,45448,MountainCar-v0
Elephant,-109.0,0,45557,MountainCar-v0
Elephant,-109.0,0,45666,MountainCar-v0
Elephant,-158.0,0,45824,MountainCar-v0
Elephant,-95.0,0,45919,MountainCar-v0
Elephant,-103.0,0,46022,MountainCar-v0
Elephant,-95.0,0,46117,MountainCar-v0
Elephant,-108.0,0,46225,MountainCar-v0
Elephant,-86.0,0,46311,MountainCar-v0
Elephant,-107.0,0,46418,MountainCar-v0
Elephant,-110.0,0,46528,MountainCar-v0
Elephant,-91.0,0,46619,MountainCar-v0
Elephant,-147.0,0,46766,MountainCar-v0
Elephant,-111.0,0,46877,MountainCar-v0
Elephant,-113.0,0,46990,MountainCar-v0
Elephant,-91.0,0,47081,MountainCar-v0
Elephant,-108.0,0,47189,MountainCar-v0
Elephant,-110.0,0,47299,MountainCar-v0
Elephant,-88.0,0,47387,MountainCar-v0
Elephant,-156.0,0,47543,MountainCar-v0
Elephant,-107.0,0,47650,MountainCar-v0
Elephant,-101.0,0,47751,MountainCar-v0
Elephant,-94.0,0,47845,MountainCar-v0
Elephant,-108.0,0,47953,MountainCar-v0
Elephant,-86.0,0,48039,MountainCar-v0
Elephant,-110.0,0,48149,MountainCar-v0
Elephant,-110.0,0,48259,MountainCar-v0
Elephant,-107.0,0,48366,MountainCar-v0
Elephant,-87.0,0,48453,MountainCar-v0
Elephant,-89.0,0,48542,MountainCar-v0
Elephant,-106.0,0,48648,MountainCar-v0
Elephant,-85.0,0,48733,MountainCar-v0
Elephant,-106.0,0,48839,MountainCar-v0
Elephant,-86.0,0,48925,MountainCar-v0
Elephant,-107.0,0,49032,MountainCar-v0
Elephant,-109.0,0,49141,MountainCar-v0
Elephant,-109.0,0,49250,MountainCar-v0
Elephant,-145.0,0,49395,MountainCar-v0
Elephant,-109.0,0,49504,MountainCar-v0
Elephant,-107.0,0,49611,MountainCar-v0
Elephant,-194.0,0,49805,MountainCar-v0
Elephant,-106.0,0,49911,MountainCar-v0
Elephant,-86.0,0,49997,MountainCar-v0
Elephant,-5.0,0,3,Pixelcopter-PLE-v0
Elephant,-4.0,0,13,Pixelcopter-PLE-v0
Elephant,-5.0,0,20,Pixelcopter-PLE-v0
Elephant,-5.0,0,25,Pixelcopter-PLE-v0
Elephant,-5.0,0,29,Pixelcopter-PLE-v0
Elephant,-5.0,0,36,Pixelcopter-PLE-v0
Elephant,-5.0,0,40,Pixelcopter-PLE-v0
Elephant,-5.0,0,45,Pixelcopter-PLE-v0
Elephant,-5.0,0,51,Pixelcopter-PLE-v0
Elephant,-5.0,0,57,Pixelcopter-PLE-v0
Elephant,-5.0,0,63,Pixelcopter-PLE-v0
Elephant,-5.0,0,70,Pixelcopter-PLE-v0
Elephant,-5.0,0,76,Pixelcopter-PLE-v0
Elephant,-5.0,0,81,Pixelcopter-PLE-v0
