Method,Return,Seed,Step,Task
ReLU,-159.0,0,40420,MountainCar-v0
ReLU,-107.0,0,40527,MountainCar-v0
ReLU,-90.0,0,40617,MountainCar-v0
ReLU,-92.0,0,40709,MountainCar-v0
ReLU,-147.0,0,40856,MountainCar-v0
ReLU,-100.0,0,40956,MountainCar-v0
ReLU,-111.0,0,41067,MountainCar-v0
ReLU,-113.0,0,41180,MountainCar-v0
ReLU,-113.0,0,41293,MountainCar-v0
ReLU,-114.0,0,41407,MountainCar-v0
ReLU,-147.0,0,41554,MountainCar-v0
ReLU,-139.0,0,41693,MountainCar-v0
ReLU,-112.0,0,41805,MountainCar-v0
ReLU,-152.0,0,41957,MountainCar-v0
ReLU,-138.0,0,42095,MountainCar-v0
ReLU,-145.0,0,42240,MountainCar-v0
ReLU,-151.0,0,42391,MountainCar-v0
ReLU,-129.0,0,42520,MountainCar-v0
ReLU,-150.0,0,42670,MountainCar-v0
ReLU,-112.0,0,42782,MountainCar-v0
ReLU,-148.0,0,42930,MountainCar-v0
ReLU,-111.0,0,43041,MountainCar-v0
ReLU,-109.0,0,43150,MountainCar-v0
ReLU,-113.0,0,43263,MountainCar-v0
ReLU,-161.0,0,43424,MountainCar-v0
ReLU,-94.0,0,43518,MountainCar-v0
ReLU,-146.0,0,43664,MountainCar-v0
ReLU,-111.0,0,43775,MountainCar-v0
ReLU,-146.0,0,43921,MountainCar-v0
ReLU,-88.0,0,44009,MountainCar-v0
ReLU,-109.0,0,44118,MountainCar-v0
ReLU,-112.0,0,44230,MountainCar-v0
ReLU,-85.0,0,44315,MountainCar-v0
ReLU,-110.0,0,44425,MountainCar-v0
ReLU,-152.0,0,44577,MountainCar-v0
ReLU,-110.0,0,44687,MountainCar-v0
ReLU,-110.0,0,44797,MountainCar-v0
ReLU,-148.0,0,44945,MountainCar-v0
ReLU,-147.0,0,45092,MountainCar-v0
ReLU,-146.0,0,45238,MountainCar-v0
ReLU,-95.0,0,45333,MountainCar-v0
ReLU,-145.0,0,45478,MountainCar-v0
ReLU,-151.0,0,45629,MountainCar-v0
ReLU,-86.0,0,45715,MountainCar-v0
ReLU,-157.0,0,45872,MountainCar-v0
ReLU,-100.0,0,45972,MountainCar-v0
ReLU,-151.0,0,46123,MountainCar-v0
